      MACH      ALPHA     C-lift     C-drag       C-my
0.75000000 -6.00000000 -0.55374760 0.06250026 -0.02590667
0.75000000 -5.87272727 -0.55598676 0.06047180 -0.02647510
0.75000000 -5.74545455 -0.55833145 0.05844354 -0.02702020
0.75000000 -5.61818182 -0.56066030 0.05641520 -0.02752468
0.75000000 -5.49090909 -0.56285197 0.05438647 -0.02797124
0.75000000 -5.36363636 -0.56478511 0.05235707 -0.02834256
0.75000000 -5.23636364 -0.56633838 0.05032670 -0.02862134
0.75000000 -5.10909091 -0.56739042 0.04829506 -0.02879029
0.75000000 -4.98181818 -0.56781969 0.04626186 -0.02883213
0.75000000 -4.85454545 -0.56741280 0.04422262 -0.02874992
0.75000000 -4.72727273 -0.56571524 0.04216196 -0.02860003
0.75000000 -4.60000000 -0.56223342 0.04006268 -0.02844746
0.75000000 -4.47272727 -0.55647496 0.03790769 -0.02835707
0.75000000 -4.34545455 -0.54815922 0.03569186 -0.02836907
0.75000000 -4.21818182 -0.53745945 0.03343573 -0.02847085
0.75000000 -4.09090909 -0.52460759 0.03116314 -0.02864293
0.75000000 -3.96363636 -0.50983515 0.02889794 -0.02886582
0.75000000 -3.83636364 -0.49333876 0.02666304 -0.02911687
0.75000000 -3.70909091 -0.47525355 0.02447975 -0.02936784
0.75000000 -3.58181818 -0.45570841 0.02236918 -0.02958994
0.75000000 -3.45454545 -0.43483290 0.02035247 -0.02975416
0.75000000 -3.32727273 -0.41279174 0.01845133 -0.02982050
0.75000000 -3.20000000 -0.38980080 0.01668831 -0.02973297
0.75000000 -3.07272727 -0.36607996 0.01508602 -0.02943434
0.75000000 -2.94545455 -0.34184485 0.01366723 -0.02886843
0.75000000 -2.81818182 -0.31717079 0.01246007 -0.02801405
0.75000000 -2.69090909 -0.29196397 0.01149910 -0.02689218
0.75000000 -2.56363636 -0.26612050 0.01081928 -0.02552631
0.75000000 -2.43636364 -0.23954852 0.01045243 -0.02394158
0.75000000 -2.30909091 -0.21243244 0.01035815 -0.02220095
0.75000000 -2.18181818 -0.18523296 0.01042379 -0.02040520
0.75000000 -2.05454545 -0.15842281 0.01053359 -0.01865677
0.75000000 -1.92727273 -0.13245453 0.01057643 -0.01705435
0.75000000 -1.80000000 -0.10744204 0.01051911 -0.01563382
0.75000000 -1.67272727 -0.08321824 0.01039315 -0.01437892
0.75000000 -1.54545455 -0.05960757 0.01023200 -0.01327182
0.75000000 -1.41818182 -0.03643442 0.01006913 -0.01229471
0.75000000 -1.29090909 -0.01352321 0.00993800 -0.01142975
0.75000000 -1.16363636 0.00930164 0.00987208 -0.01065910
0.75000000 -1.03636364 0.03221573 0.00990481 -0.00996495
0.75000000 -0.90909091 0.05537884 0.01006728 -0.00933118
0.75000000 -0.78181818 0.07879560 0.01036709 -0.00875841
0.75000000 -0.65454545 0.10238258 0.01079851 -0.00825683
0.75000000 -0.52727273 0.12605532 0.01135567 -0.00783670
0.75000000 -0.40000000 0.14972936 0.01203270 -0.00750829
0.75000000 -0.27272727 0.17332026 0.01282372 -0.00728187
0.75000000 -0.14545455 0.19674357 0.01372285 -0.00716771
0.75000000 -0.01818182 0.21991483 0.01472423 -0.00717609
0.75000000 0.10909091 0.24274663 0.01582187 -0.00731352
0.75000000 0.23636364 0.26513335 0.01700912 -0.00756330
0.75000000 0.36363636 0.28696239 0.01827907 -0.00789991
