      MACH      ALPHA     C-lift     C-drag       C-my
0.20000000 -6.00000000 -0.53228324 0.01225065 -0.01249702
0.20000000 -5.76767677 -0.50718964 0.01209318 -0.01222183
0.20000000 -5.53535354 -0.48195101 0.01194392 -0.01195696
0.20000000 -5.30303030 -0.45660799 0.01180329 -0.01170415
0.20000000 -5.07070707 -0.43120119 0.01167175 -0.01146512
0.20000000 -4.83838384 -0.40576803 0.01154967 -0.01124120
0.20000000 -4.60606061 -0.38031204 0.01143696 -0.01102951
0.20000000 -4.37373737 -0.35481676 0.01133322 -0.01082490
0.20000000 -4.14141414 -0.32926958 0.01123771 -0.01062616
0.20000000 -3.90909091 -0.30366183 0.01114940 -0.01043556
0.20000000 -3.67676768 -0.27799741 0.01106762 -0.01025349
0.20000000 -3.44444444 -0.25229640 0.01099217 -0.01007765
0.20000000 -3.21212121 -0.22653591 0.01092318 -0.00991241
0.20000000 -2.97979798 -0.20060492 0.01086140 -0.00977588
0.20000000 -2.74747475 -0.17445074 0.01080697 -0.00967672
0.20000000 -2.51515152 -0.14823331 0.01075797 -0.00958935
0.20000000 -2.28282828 -0.12212297 0.01071264 -0.00948661
0.20000000 -2.05050505 -0.09614174 0.01067190 -0.00936570
0.20000000 -1.81818182 -0.07026656 0.01063748 -0.00923120
0.20000000 -1.58585859 -0.04447435 0.01061110 -0.00908770
0.20000000 -1.35353535 -0.01874205 0.01059449 -0.00893979
0.20000000 -1.12121212 0.00695340 0.01058939 -0.00879204
0.20000000 -0.88888889 0.03263436 0.01059738 -0.00864888
0.20000000 -0.65656566 0.05830475 0.01061663 -0.00851041
0.20000000 -0.42424242 0.08394898 0.01064164 -0.00837219
0.20000000 -0.19191919 0.10955055 0.01066677 -0.00822953
0.20000000 0.04040404 0.13509298 0.01068636 -0.00807777
0.20000000 0.27272727 0.16057669 0.01069795 -0.00791587
0.20000000 0.50505051 0.18604255 0.01070669 -0.00775150
0.20000000 0.73737374 0.21153739 0.01071885 -0.00759357
0.20000000 0.96969697 0.23710805 0.01074072 -0.00745102
0.20000000 1.20202020 0.26279145 0.01077753 -0.00733097
0.20000000 1.43434343 0.28856551 0.01082825 -0.00722974
0.20000000 1.66666667 0.31438649 0.01088961 -0.00713967
0.20000000 1.89898990 0.34021063 0.01095830 -0.00705310
0.20000000 2.13131313 0.36599560 0.01103114 -0.00696267
0.20000000 2.36363636 0.39172412 0.01110723 -0.00686595
0.20000000 2.59595960 0.41740002 0.01118756 -0.00676470
0.20000000 2.82828283 0.44302781 0.01127318 -0.00666079
0.20000000 3.06060606 0.46861199 0.01136514 -0.00655609
